Serial,Type,Datetime,Data,Outlier_Flag
01749,real_time_data,2022-01-01 00:40:00,"{""datetime"": ""2022-01-01 00:40:00"", ""laeq"": 59.57, ""lafmax"": 59.99, ""la10"": 59.73, ""la90"": 59.28, ""la95"": 59.17, ""lceq"": 66.71, ""lcfmax"": 67.25, ""lc10"": 66.99, ""lc90"": 66.12, ""lc95"": 65.9}",No
01749,real_time_data,2022-01-01 00:45:00,"{""datetime"": ""2022-01-01 00:45:00"", ""laeq"": 59.57, ""lafmax"": 60.05, ""la10"": 59.73, ""la90"": 59.29, ""la95"": 59.22, ""lceq"": 66.75, ""lcfmax"": 67.21, ""lc10"": 67, ""lc90"": 66.32, ""lc95"": 66.05}",No
01749,real_time_data,2022-01-01 00:50:00,"{""datetime"": ""2022-01-01 00:50:00"", ""laeq"": 59.53, ""lafmax"": 59.95, ""la10"": 59.67, ""la90"": 59.32, ""la95"": 59.23, ""lceq"": 66.72, ""lcfmax"": 67.14, ""lc10"": 66.92, ""lc90"": 66.34, ""lc95"": 66.19}",No
01749,real_time_data,2022-01-01 00:55:00,"{""datetime"": ""2022-01-01 00:55:00"", ""laeq"": 59.5, ""lafmax"": 59.88, ""la10"": 59.62, ""la90"": 59.29, ""la95"": 59.19, ""lceq"": 66.61, ""lcfmax"": 67.04, ""lc10"": 66.81, ""lc90"": 66.2, ""lc95"": 65.99}",No
01749,real_time_data,2022-01-01 01:00:00,"{""datetime"": ""2022-01-01 01:00:00"", ""laeq"": 59.49, ""lafmax"": 59.86, ""la10"": 59.59, ""la90"": 59.29, ""la95"": 59.2, ""lceq"": 66.52, ""lcfmax"": 66.88, ""lc10"": 66.69, ""lc90"": 66.16, ""lc95"": 65.95}",No
01749,real_time_data,2022-01-01 01:05:00,"{""datetime"": ""2022-01-01 01:05:00"", ""laeq"": 59.46, ""lafmax"": 59.88, ""la10"": 59.59, ""la90"": 59.23, ""la95"": 59.1, ""lceq"": 66.4, ""lcfmax"": 66.77, ""lc10"": 66.59, ""lc90"": 66.03, ""lc95"": 65.87}",No
01749,real_time_data,2022-01-01 01:10:00,"{""datetime"": ""2022-01-01 01:10:00"", ""laeq"": 59.58, ""lafmax"": 60.11, ""la10"": 59.68, ""la90"": 59.42, ""la95"": 59.31, ""lceq"": 66.45, ""lcfmax"": 66.76, ""lc10"": 66.59, ""lc90"": 66.2, ""lc95"": 65.95}",No
01749,real_time_data,2022-01-01 01:15:00,"{""datetime"": ""2022-01-01 01:15:00"", ""laeq"": 59.58, ""lafmax"": 59.9, ""la10"": 59.66, ""la90"": 59.45, ""la95"": 59.32, ""lceq"": 66.42, ""lcfmax"": 66.72, ""lc10"": 66.55, ""lc90"": 66.19, ""lc95"": 65.93}",No
01749,real_time_data,2022-01-01 01:20:00,"{""datetime"": ""2022-01-01 01:20:00"", ""laeq"": 59.54, ""lafmax"": 60.03, ""la10"": 59.66, ""la90"": 59.35, ""la95"": 59.26, ""lceq"": 66.41, ""lcfmax"": 66.68, ""lc10"": 66.54, ""lc90"": 66.2, ""lc95"": 65.99}",No
01749,real_time_data,2022-01-01 01:25:00,"{""datetime"": ""2022-01-01 01:25:00"", ""laeq"": 59.55, ""lafmax"": 59.9, ""la10"": 59.64, ""la90"": 59.42, ""la95"": 59.33, ""lceq"": 66.47, ""lcfmax"": 66.75, ""lc10"": 66.57, ""lc90"": 66.28, ""lc95"": 66.11}",No
01749,real_time_data,2022-01-01 01:30:00,"{""datetime"": ""2022-01-01 01:30:00"", ""laeq"": 59.58, ""lafmax"": 59.9, ""la10"": 59.66, ""la90"": 59.42, ""la95"": 59.37, ""lceq"": 66.5, ""lcfmax"": 66.73, ""lc10"": 66.57, ""lc90"": 66.37, ""lc95"": 66.26}",No
